,season,team,player
1794,2011,Royal Challengers Bangalore,AUK Pathan
1795,2013,Kings XI Punjab,Harmeet Singh
1796,2011,Rajasthan Royals,SR Watson
1797,2012,Rajasthan Royals,OA Shah
1798,2015,Kolkata Knight Riders,J Botha
1799,2014,Chennai Super Kings,DR Smith
1800,2015,Kolkata Knight Riders,MK Pandey
1801,2011,Kings XI Punjab,BA Bhatt
1802,2019,Rajasthan Royals,RA Tripathi
1803,2015,Mumbai Indians,HH Pandya
1804,2009,Kings XI Punjab,LA Pomersbach
1805,2011,Pune Warriors,Yuvraj Singh
1806,2009,Rajasthan Royals,SK Warne
1807,2010,Mumbai Indians,SL Malinga
1808,2013,Chennai Super Kings,R Ashwin
1809,2016,Sunrisers Hyderabad,B Kumar
1810,2018,Royal Challengers Bangalore,C de Grandhomme
1811,2019,Rajasthan Royals,R Parag
1812,2010,Kolkata Knight Riders,CA Pujara
1813,2013,Pune Warriors,AM Nayar
1814,2011,Pune Warriors,SB Wagh
1815,2009,Mumbai Indians,SR Tendulkar
1816,2010,Rajasthan Royals,SK Warne
1817,2012,Kolkata Knight Riders,Shakib Al Hasan
1818,2017,Rising Pune Supergiant,Washington Sundar
1819,2013,Sunrisers Hyderabad,BB Samantray
1820,2010,Kolkata Knight Riders,CK Langeveldt
1821,2016,Kolkata Knight Riders,Shakib Al Hasan
1822,2018,Royal Challengers Bangalore,P Negi
1823,2014,Sunrisers Hyderabad,S Anirudha
1824,2015,Mumbai Indians,AT Rayudu
1825,2017,Kolkata Knight Riders,CR Woakes
1826,2018,Delhi Daredevils,TA Boult
1827,2019,Mumbai Indians,SL Malinga
1828,2010,Deccan Chargers,Jaskaran Singh
1829,2014,Royal Challengers Bangalore,VH Zol
1830,2012,Royal Challengers Bangalore,R Vinay Kumar
1831,2015,Rajasthan Royals,JP Faulkner
1832,2013,Chennai Super Kings,AS Rajpoot
1833,2016,Kings XI Punjab,SE Marsh
1834,2011,Rajasthan Royals,SA Asnodkar
1835,2010,Kolkata Knight Riders,OA Shah
1836,2008,Chennai Super Kings,JDP Oram
1837,2012,Kings XI Punjab,RR Powar
1838,2019,Kolkata Knight Riders,L Ferguson
1839,2013,Kolkata Knight Riders,MS Bisla
1840,2011,Pune Warriors,NL McCullum
1841,2012,Kolkata Knight Riders,LR Shukla
1842,2010,Rajasthan Royals,AP Dole
1843,2019,Kings XI Punjab,Mohammed Shami
1844,2013,Kings XI Punjab,MS Gony
1845,2015,Mumbai Indians,SL Malinga
1846,2014,Mumbai Indians,Harbhajan Singh
1847,2012,Kolkata Knight Riders,PJ Sangwan
1848,2014,Mumbai Indians,P Kumar
1849,2018,Chennai Super Kings,D Willey
1850,2012,Royal Challengers Bangalore,MA Agarwal
1851,2012,Mumbai Indians,SL Malinga
1852,2011,Kings XI Punjab,DJ Hussey
1853,2019,Sunrisers Hyderabad,R Bhui
1854,2014,Mumbai Indians,M de Lange
1855,2013,Rajasthan Royals,BJ Hodge
1856,2008,Deccan Chargers,Y Venugopal Rao
1857,2015,Rajasthan Royals,J Theron
1858,2016,Gujarat Lions,Ishan Kishan
1859,2015,Royal Challengers Bangalore,CH Gayle
1860,2009,Delhi Daredevils,DA Warner
1861,2010,Kings XI Punjab,MS Bisla
1862,2011,Kings XI Punjab,Mandeep Singh
1863,2013,Rajasthan Royals,S Sreesanth
1864,2011,Rajasthan Royals,JDP Oram
1865,2013,Rajasthan Royals,AL Menaria
1866,2010,Royal Challengers Bangalore,EJG Morgan
1867,2008,Deccan Chargers,SB Bangar
1868,2018,Rajasthan Royals,P Chopra
1869,2015,Kings XI Punjab,DA Miller
1870,2017,Kolkata Knight Riders,MK Pandey
1871,2015,Mumbai Indians,S Gopal
1872,2016,Mumbai Indians,AT Rayudu
1873,2009,Kolkata Knight Riders,CH Gayle
1874,2019,Mumbai Indians,SD Lad
1875,2014,Sunrisers Hyderabad,IK Pathan
1876,2018,Kolkata Knight Riders,R Vinay Kumar
1877,2008,Mumbai Indians,ST Jayasuriya
1878,2018,Chennai Super Kings,DL Chahar
1879,2013,Mumbai Indians,DS Kulkarni
1880,2016,Rising Pune Supergiants,UT Khawaja
1881,2019,Mumbai Indians,KA Pollard
1882,2015,Delhi Daredevils,GS Sandhu
1883,2019,Sunrisers Hyderabad,Ankit Sharma
1884,2015,Rajasthan Royals,TG Southee
1885,2012,Delhi Daredevils,P Negi
1886,2014,Chennai Super Kings,S Badree
1887,2009,Kings XI Punjab,VS Malik
1888,2016,Kings XI Punjab,R Dhawan
1889,2012,Delhi Daredevils,IK Pathan
1890,2018,Delhi Daredevils,Mohammed Shami
1891,2012,Pune Warriors,AD Mathews
1892,2019,Rajasthan Royals,JD Unadkat
1893,2017,Kings XI Punjab,MJ Guptill
1894,2013,Chennai Super Kings,MS Dhoni
1895,2009,Mumbai Indians,RA Shaikh
1896,2009,Deccan Chargers,AC Gilchrist
1897,2014,Sunrisers Hyderabad,I Sharma
1898,2015,Royal Challengers Bangalore,AN Ahmed
1899,2012,Kings XI Punjab,Azhar Mahmood
1900,2013,Delhi Daredevils,DA Warner
1901,2008,Kings XI Punjab,KC Sangakkara
1902,2011,Chennai Super Kings,SB Jakati
1903,2016,Rising Pune Supergiants,NLTC Perera
1904,2014,Delhi Daredevils,JP Duminy
1905,2015,Royal Challengers Bangalore,D Wiese
1906,2010,Kings XI Punjab,Bipul Sharma
1907,2012,Royal Challengers Bangalore,M Kaif
1908,2019,Sunrisers Hyderabad,Rashid Khan
1909,2013,Kings XI Punjab,SE Marsh
1910,2012,Chennai Super Kings,SB Jakati
1911,2016,Royal Challengers Bangalore,SN Khan
1912,2013,Pune Warriors,WD Parnell
1913,2013,Chennai Super Kings,M Vijay
1914,2015,Kings XI Punjab,AR Patel
1915,2010,Deccan Chargers,B Sumanth
1916,2009,Delhi Daredevils,R Bhatia
1917,2015,Rajasthan Royals,Ankit Sharma
1918,2013,Royal Challengers Bangalore,JD Unadkat
1919,2014,Delhi Daredevils,KD Karthik
1920,2010,Kolkata Knight Riders,JD Unadkat
1921,2015,Rajasthan Royals,STR Binny
1922,2016,Delhi Daredevils,Mohammed Shami
1923,2011,Delhi Daredevils,TR Birt
1924,2015,Kolkata Knight Riders,SA Yadav
1925,2015,Kolkata Knight Riders,PJ Cummins
1926,2016,Rising Pune Supergiants,SS Tiwary
1927,2015,Rajasthan Royals,SR Watson
1928,2017,Delhi Daredevils,RR Pant
1929,2008,Mumbai Indians,VS Yeligati
1930,2010,Royal Challengers Bangalore,B Akhil
1931,2017,Rising Pune Supergiant,AM Rahane
1932,2019,Kings XI Punjab,V Chakravarthy
1933,2016,Kolkata Knight Riders,AD Russell
1934,2012,Rajasthan Royals,J Botha
1935,2012,Kings XI Punjab,Mandeep Singh
1936,2012,Deccan Chargers,KC Sangakkara
1937,2009,Delhi Daredevils,MF Maharoof
1938,2008,Kolkata Knight Riders,AB Dinda
1939,2013,Royal Challengers Bangalore,CA Pujara
1940,2008,Delhi Daredevils,G Gambhir
1941,2013,Pune Warriors,MN Samuels
1942,2012,Kolkata Knight Riders,DB Das
1943,2018,Chennai Super Kings,Harbhajan Singh
1944,2018,Kings XI Punjab,MM Sharma
1945,2017,Mumbai Indians,LMP Simmons
1946,2013,Mumbai Indians,JDP Oram
1947,2014,Kings XI Punjab,M Vohra
1948,2010,Mumbai Indians,JP Duminy
1949,2019,Chennai Super Kings,M Santner
1950,2019,Delhi Capitals,HV Patel
1951,2018,Sunrisers Hyderabad,CJ Jordan
1952,2017,Sunrisers Hyderabad,BCJ Cutting
1953,2008,Kolkata Knight Riders,DB Das
1954,2014,Chennai Super Kings,RA Jadeja
1955,2018,Chennai Super Kings,RA Jadeja
1956,2008,Chennai Super Kings,MEK Hussey
1957,2009,Kings XI Punjab,S Sohal
1958,2014,Kings XI Punjab,Karanveer Singh
1959,2017,Kings XI Punjab,Sandeep Sharma
1960,2009,Deccan Chargers,Shoaib Ahmed
1961,2011,Delhi Daredevils,CA Ingram
1962,2017,Royal Challengers Bangalore,CH Gayle
1963,2008,Deccan Chargers,Shahid Afridi
1964,2012,Kings XI Punjab,SD Chitnis
1965,2015,Kolkata Knight Riders,Azhar Mahmood
1966,2011,Delhi Daredevils,JR Hopes
1967,2012,Rajasthan Royals,KK Cooper
1968,2009,Kings XI Punjab,KC Sangakkara
1969,2016,Kings XI Punjab,MM Sharma
1970,2014,Mumbai Indians,SL Malinga
1971,2011,Kings XI Punjab,Bipul Sharma
1972,2011,Deccan Chargers,I Malhotra
1973,2014,Chennai Super Kings,MS Dhoni
1974,2011,Kolkata Knight Riders,JH Kallis
1975,2017,Sunrisers Hyderabad,KS Williamson
1976,2013,Royal Challengers Bangalore,MA Agarwal
1977,2012,Pune Warriors,MJ Clarke
1978,2018,Mumbai Indians,KH Pandya
1979,2009,Delhi Daredevils,A Mishra
1980,2013,Kings XI Punjab,Azhar Mahmood
1981,2016,Kolkata Knight Riders,M Morkel
1982,2012,Delhi Daredevils,RE van der Merwe
1983,2012,Pune Warriors,WD Parnell
1984,2010,Royal Challengers Bangalore,JH Kallis
1985,2010,Deccan Chargers,VVS Laxman
1986,2019,Mumbai Indians,RG Sharma
1987,2008,Deccan Chargers,PP Ojha
1988,2011,Rajasthan Royals,STR Binny
1989,2008,Kolkata Knight Riders,AB Agarkar
1990,2012,Mumbai Indians,RJ Peterson
1991,2014,Kings XI Punjab,L Balaji
1992,2011,Mumbai Indians,Harbhajan Singh
1993,2013,Sunrisers Hyderabad,NLTC Perera
1994,2012,Kings XI Punjab,SE Marsh
1995,2017,Mumbai Indians,KV Sharma
1996,2008,Royal Challengers Bangalore,W Jaffer
1997,2009,Delhi Daredevils,V Sehwag
1998,2008,Mumbai Indians,MA Khote
1999,2014,Sunrisers Hyderabad,MC Henriques
2000,2012,Deccan Chargers,S Dhawan
2001,2016,Kings XI Punjab,F Behardien
2002,2014,Rajasthan Royals,AM Nayar
2003,2019,Sunrisers Hyderabad,WP Saha
2004,2018,Sunrisers Hyderabad,SP Goswami
2005,2019,Mumbai Indians,M Markande
2006,2016,Kings XI Punjab,GJ Maxwell
2007,2010,Rajasthan Royals,SW Tait
2008,2010,Mumbai Indians,S Dhawan
2009,2015,Kings XI Punjab,M Vohra
2010,2010,Delhi Daredevils,PJ Sangwan
2011,2009,Deccan Chargers,RP Singh
